Model,AUC,Accuracy,F1,Sensitivity,Specificity,PPV,NPV
MG-MIX,0.8941841085495765,0.7782551053602162,0.7785594734723043,0.7698643309175521,0.7860217864923748,0.8390038396506606,0.7684104288609921
MG-MP,0.8735567156574563,0.7589815127153604,0.7623807061722948,0.7318010759859499,0.7944357298474946,0.8432233422155144,0.7428757259001161
MT-Net,0.8475342135356524,0.765063076852855,0.7829301128664186,0.7847788893335113,0.7274989106753812,0.7936577197717145,0.7464856711915535
MS-Net,0.7825847934035229,0.7120195086945328,0.70597426824981,0.6360257880930151,0.787825708061002,0.80199982586795,0.6338572635507134
