Model,AUC,Accuracy,F1,Sensitivity,Specificity,PPV,NPV
MG-MIX,0.9094335839598997,0.8,0.7726769684216492,0.7814285714285715,0.8173684210526314,0.8486890260345638,0.8299719887955183
MG-MP,0.8889310776942356,0.76,0.7462065544854952,0.74,0.7736842105263158,0.8218897044984003,0.7985098393068033
MT-Net,0.8894511278195487,0.79,0.7935118320865934,0.8299999999999998,0.7457894736842106,0.7771158861422554,0.8458210744251934
MS-Net,0.8444624060150376,0.735,0.7280427960657947,0.6928571428571428,0.7789473684210526,0.793711967545639,0.7137934529238876
